timestamp,peopleCount
2023-05-23T09:38:03.972Z,12023-05-23T09:47:16.727Z,12023-05-23T09:47:27.350Z,12023-05-23T09:47:38.081Z,12023-05-23T09:47:48.708Z,12023-05-23T09:47:59.374Z,12023-05-23T09:48:10.088Z,12023-05-23T09:48:21.889Z,12023-05-23T09:48:37.847Z,12023-05-23T09:48:48.476Z,12023-05-23T09:48:59.103Z,12023-05-23T09:49:10.042Z,12023-05-23T09:49:27.565Z,12023-05-23T09:49:38.193Z,12023-05-23T09:49:48.833Z,12023-05-23T09:49:59.665Z,12023-05-23T09:50:10.397Z,12023-05-23T09:50:21.113Z,12023-05-23T09:50:31.778Z,12023-05-23T09:50:42.494Z,12023-05-23T09:50:53.610Z,12023-05-23T09:51:04.246Z,12023-05-23T09:51:14.886Z,12023-05-23T09:51:25.624Z,12023-05-23T09:51:36.335Z,12023-05-23T09:51:47.185Z,12023-05-23T09:51:58.020Z,12023-05-23T09:52:08.961Z,12023-05-23T09:52:19.861Z,12023-05-23T09:52:30.878Z,12023-05-23T09:52:41.828Z,12023-05-23T09:52:53.936Z,12023-05-23T09:53:04.710Z,12023-05-23T09:53:15.633Z,12023-05-23T09:53:26.327Z,12023-05-23T09:53:37.370Z,12023-05-23T09:53:48.108Z,02023-05-23T09:53:58.950Z,12023-05-23T09:54:09.882Z,12023-05-23T09:54:20.679Z,12023-05-23T09:54:31.498Z,12023-05-23T09:54:42.131Z,12023-05-23T09:54:52.765Z,12023-05-23T09:55:03.417Z,12023-05-23T09:55:14.530Z,12023-05-23T09:55:25.177Z,12023-05-23T09:55:35.991Z,12023-05-23T09:55:46.728Z,12023-05-23T09:55:57.481Z,12023-05-23T09:56:08.244Z,12023-05-23T09:56:19.015Z,12023-05-23T09:56:29.662Z,12023-05-23T09:56:40.389Z,12023-05-23T09:56:51.311Z,12023-05-23T09:57:02.250Z,02023-05-23T09:57:12.892Z,12023-05-23T09:57:23.623Z,12023-05-23T09:57:34.347Z,12023-05-23T09:57:45.069Z,12023-05-23T09:57:55.726Z,12023-05-23T09:58:06.435Z,12023-05-23T09:58:17.096Z,12023-05-23T09:58:55.570Z,02023-05-23T09:59:06.288Z,02023-05-23T09:59:17.328Z,12023-05-23T09:59:28.059Z,12023-05-23T09:59:38.789Z,12023-05-23T09:59:49.527Z,12023-05-23T10:03:23.206Z,1
2023-05-23T10:03:33.115Z,1
2023-05-23T10:03:43.110Z,1
2023-05-23T10:03:53.202Z,1
2023-05-23T10:04:03.123Z,1
2023-05-23T10:04:13.118Z,0
2023-05-23T10:04:23.118Z,0
2023-05-23T10:04:33.120Z,1
2023-05-23T10:04:43.119Z,0
2023-05-23T10:04:53.119Z,1
2023-05-23T10:05:03.118Z,1
2023-05-23T10:05:13.121Z,1
2023-05-23T10:05:23.123Z,1
2023-05-23T10:05:33.190Z,1
2023-05-23T10:05:43.127Z,1
2023-05-23T10:05:53.122Z,1
2023-05-23T10:06:03.119Z,1
2023-05-23T10:06:13.127Z,1
2023-05-23T10:06:23.121Z,1
2023-05-23T10:06:33.149Z,1
2023-05-23T10:06:43.120Z,1
2023-05-23T10:06:53.119Z,1
2023-05-23T10:07:03.130Z,1
2023-05-23T10:07:13.124Z,1
2023-05-23T10:07:23.118Z,1
2023-05-23T10:07:33.116Z,1
2023-05-23T10:07:43.129Z,1
2023-05-23T10:07:53.117Z,1
2023-05-23T10:08:03.150Z,1
2023-05-23T10:08:13.144Z,1
2023-05-23T10:08:23.131Z,1
